id,url,price,description,city,date
683612858,https://www.olx.ua/d/uk/obyavlenie/arenda-70-kv-m-2-komn-pechersk-bez-komisii-IDKgmWQ.html,29 982 грн.,"Аренда 70 кв.м, 2 комн Печерск БЕЗ КОМИСИИ!",Kiev,2021-12-18
680607438,https://www.olx.ua/d/uk/obyavlenie/arenda-1-k-ul-drayzera-42-tts-rayon-troeschina-IDK3L5k.html,7 500 грн.,"Аренда 1-К ул. Драйзера 42 ТЦ""Район"" Троещина",Kiev,2021-12-18
733448309,https://www.olx.ua/d/uk/obyavlenie/arenda-1k-kuhnya-studio-zhk-zarechnyy-metro-slavutich-IDNDtpr.html,20 000 грн.,Аренда 1к + кухня студио. ЖК Заречный Метро Славутич,Kiev,2021-12-18
722886346,https://www.olx.ua/d/uk/obyavlenie/arenda-3k-riverstone-river-stoun-truskavetskaya-10-IDMW9Lc.html,73 593 грн.,Аренда  3к Riverstone Ривер стоун Трускавецкая 10,Kiev,2021-12-18
733913221,https://www.olx.ua/d/uk/obyavlenie/obolon-m-minskaya-2-ya-kvartira-timoshenko-18-tsena-17-900-IDNFqm1.html,17 900 грн.,"Оболонь м. Минская 2-я квартира Тимошенко,18 цена 17.900",Kiev,2021-12-18
730824096,https://www.olx.ua/d/uk/obyavlenie/arenda-appartamentov-zhk-pechersky-IDNssJq.html,177 167 грн.,Аренда аппартаментов ЖК Pechersky,Kiev,2021-12-18
733912651,https://www.olx.ua/d/uk/obyavlenie/arenda-1k-54-m-zhk-navigator-obolon-novyy-dom-12-500-gr-bez-IDNFqcP.html,12 500 грн.,"Аренда 1к, 54 м.  ЖК Навигатор, Оболонь, Новый Дом, 12 500 гр, Без %",Kiev,2021-12-18
733912963,https://www.olx.ua/d/uk/obyavlenie/pervaya-sdacha-srochno-stetsenka-75-m-akadem-zhk-welcome-home-IDNFqhR.html,10 500 грн.,"ПЕРВАЯ СДАЧА !! Срочно Стеценка, 75 м.Академ. Жк""WELCOME HOME""",Kiev,2021-12-18
731730419,https://www.olx.ua/d/uk/obyavlenie/sdam-1-yu-kvartiru-studiyu-desnyanskiy-rayon-IDNvgwx.html,8 000 грн.,Сдам 1-ю квартиру студию. Деснянский район.,Kiev,2021-12-18
733648363,https://www.olx.ua/d/uk/obyavlenie/sdaetsya-v-pervye-v-novom-dome-1k-kvartira-vozle-metro-vasilkovskaya-IDNEjs7.html,18 000 грн.,Сдается в первые в новом доме 1к квартира возле метро Васильковская,Kiev,2021-12-18
733912180,https://www.olx.ua/d/uk/obyavlenie/sdam-3-komnatnaya-kvartira-podolskiy-rayon-prospekt-pravdy-104-IDNFq5e.html,13 990 грн.,Сдам 3 комнатная квартира Подольский район проспект Правды 104,Kiev,2021-12-18
705734358,https://www.olx.ua/d/uk/obyavlenie/sdam-vidovuyu-kvartiru-m-levoberezhnaya-rusanovka-IDLLbKe.html,15 000 грн.,Сдам видовую квартиру М Левобережная. Русановка,Kiev,2021-12-18
733911672,https://www.olx.ua/d/uk/obyavlenie/sdam-svoyu-evro-2-poznyaki-IDNFpX2.html,12 500 грн.,Сдам свою эвро 2 Позняки.,Kiev,2021-12-18
733910584,https://www.olx.ua/d/uk/obyavlenie/uyutnaya-1k-kv-harkovskoe-shosse-19b-metro-harkovskaya-poznyaki-IDNFpFu.html,11 500 грн.,"Уютная 1к.кв. Харьковское Шоссе 19б, Метро Харьковская, Позняки",Kiev,2021-12-18
733909486,https://www.olx.ua/d/uk/obyavlenie/sdadim-2h-komnatnuyu-kvartiru-podol-kontraktovaya-ploschad-IDNFpnM.html,13 500 грн.,"Сдадим 2х комнатную квартиру, Подол, Контрактовая площадь",Kiev,2021-12-18
729369106,https://www.olx.ua/d/uk/obyavlenie/sdam-2-kom-yu-kvartiru-na-oboloni-vozle-metro-geroev-dnepra-IDNmmdQ.html,11 500 грн.,Сдам 2 ком-ю квартиру на Оболони возле Метро Героев Днепра,Kiev,2021-12-18
714871847,https://www.olx.ua/d/uk/obyavlenie/sdam-1-k-kvartiru-IDMnvP5.html,10 000 грн.,Сдам 1-к. квартиру,Kiev,2021-12-18
